	business_id	name	address	city	state	latitude	longitude	stars	review_count	is_open
1	FXHfcFVEfI1vVngW2gVOpw	"""Bampot House of Tea & Board Games"""	"""201 Harbord Street"""	Toronto	ON	43.661581680699996	-79.4088784561	4.0	55	1
4	5q6Xh-UcJa78bp6dzyaE7w	"""Duck Donuts"""	"""1710 Kenilworth Ave, Ste 220"""	Charlotte	NC	35.2026242	-80.8444191	4.5	373	1
5	W1Yr6c2XDx_RBjb6WsV-aQ	"""Divine Cafe at the Springs Preserve"""	"""333 S Valley View Blvd"""	Las Vegas	NV	36.1707064994	-115.19028848100001	4.0	140	1
6	PJ-VbAtIOso1dqd2frQqqg	"""Donut Tyme"""	"""4268 E Charleston Blvd"""	Las Vegas	NV	36.1593275383	-115.082178745	4.5	76	1
7	mLP-jIIRdoaYM7fJqqFurw	"""Napoli Pizzeria"""	"""2006 Murray Ave"""	Pittsburgh	PA	40.434399	-79.9229828	4.0	53	1
8	kyXEnWKQGWSThY6EcjORuw	"""Zorba's Restaurant"""	"""627 E Green St"""	Champaign	IL	40.110085	-88.229304	4.0	109	1
9	M3uV9Y3EDSpy9d4YwyNSAQ	"""Yakiramen"""	"""10605 N 43rd Ave"""	Phoenix	AZ	33.5823628	-112.1498845	4.0	66	1
10	1cLXGXThDYZ5WK_KpBLtkw	"""Koko Bakery"""	"""3710 Payne Ave"""	Cleveland	OH	41.5094078	-81.6621618	4.0	167	1
14	O_UC_izJXcAmkm6HlEyGSA	"""Playa Cabana"""	"""111 Dupont Street"""	Toronto	ON	43.675957769300005	-79.4011840224	4.0	363	1
15	ww_MXl-qDLeYdYTZZ9KWbA	"""Pho Linh"""	"""1156 College Street W"""	Toronto	ON	43.652368	-79.4340771	4.0	162	1
16	U1ZVgF-kfkvv_rcoe0RglQ	"""Pho Noodles"""	"""3417 N 7th Ave"""	Phoenix	AZ	33.4887595	-112.08240184200001	4.5	172	1
17	dPxZI9lrKTl5dvFfnb1_Ig	"""Trattoria Italia"""	"""9905 S Eastern Ave, Ste 140"""	Las Vegas	NV	36.010085600000004	-115.11865630000001	4.5	210	1
19	_eKvk2GoGKb3CoYolHgRlg	"""Fresko A Mediterranean Kitchen"""	"""5033 E Elliot Rd"""	Phoenix	AZ	33.347893	-111.97682179999998	4.5	88	1
20	kRgP3LxO2ugBrC1YpWLncA	"""Bangkok Thai Bar-B-Q"""	"""13828 N 51st Ave"""	Glendale	AZ	33.611520848000005	-112.170486564	4.0	131	1
21	u29lf2yPd-qK5ThAS9FRQQ	"""Kinthai"""	"""4105 W Sahara Ave"""	Las Vegas	NV	36.1440231017	-115.195895992	4.5	61	0
22	pBoWsom3mZFYo9EucIWRDg	"""Kabuki Sushi & Grill"""	"""8378 W Thunderbird Rd, Ste 107"""	Peoria	AZ	33.6114217	-112.23952050000001	4.0	157	1
23	7J_8O6w79raFRSORc3bRew	"""AZ Pho & Grill"""	"""3140 S Gilbert Rd, Ste 1"""	Chandler	AZ	33.2606908	-111.7903737	4.0	249	1
24	ECqc9Xd0dTdKmcNrbIizAw	"""Los Girasoles"""	"""4441 State Route 43"""	Kent	OH	41.110532899999995	-81.34804270000001	4.0	54	1
26	yHCoJZh5nx0Onr5xgMaUHg	"""Galleria Supermarket"""	"""865 York Mills Road"""	Toronto	ON	43.753721500000005	-79.3494213	4.0	92	1
34	loeW2G8tSIp1cLD3zB1NoQ	"""Urban Boba Tea House"""	"""2470 W Happy Valley Rd, Ste 1183"""	Phoenix	AZ	33.7146952489	-112.11252066899999	4.0	119	1
35	0s0Xthk1JWrBUu74M81Xyg	"""The Good Egg - Val Vista"""	"""1939 S Val Vista Dr"""	Mesa	AZ	33.380479	-111.7533699	4.0	109	0
36	-pexuIf6nAyzhNSN6wQsTA	"""Boulangerie Guillaume"""	"""5132 Boulevard Saint-Laurent"""	Montréal	QC	45.5233167	-73.5935236	4.5	66	1
37	IfUkm42SB9D0m_ZbkQ711A	"""The Fish Store & Sandwiches"""	"""657 College Street"""	Toronto	ON	43.6549209	-79.4163139	4.0	138	1
39	A029GQG1S3ekPit6cObcBA	"""Curry Garden"""	"""1533 W Elliot Rd, Ste 101"""	Gilbert	AZ	33.3492557	-111.82234409999998	4.0	109	1
40	cFvKIMOv6jUEaWiR8dpcJQ	"""Las Vegas Greek Festival"""	"""5300 S El Camino Rd"""	Las Vegas	NV	36.091644154	-115.226644706	4.0	61	1
43	v0byOL8VL6v6muGa1anxFA	"""The Hummus Factory"""	"""7875 W Sahara Ave, Ste 101"""	Las Vegas	NV	36.143204100000005	-115.26286599999999	4.5	214	1
44	HQObn6hrV9WoeFObGfa2YQ	"""Mucha Lucha Taco Shop"""	"""1530 S Val Vista Dr"""	Gilbert	AZ	33.322367	-111.756204	4.5	199	1
45	EC7NrIHKk6i3US_XJlDWDA	"""Julio's Too"""	"""7305 E Camelback Rd"""	Scottsdale	AZ	33.501960499999996	-111.92309240000002	4.0	166	1
46	YT9zQ9dL4sFZg0Y8IPK6CQ	"""Souper Market"""	"""14809 Detroit Ave"""	Lakewood	OH	41.4850994	-81.800013	4.5	61	1
47	5vgieFiCubi43G6ciiFhNQ	"""CC Lounge & Whisky Bar"""	"""45 Front Street E"""	Toronto	ON	43.6479658	-79.3745153	4.5	53	1
48	frCxZS7lPhEnQRJ3UY6m7A	"""La Santisima"""	"""1919 N 16th St"""	Phoenix	AZ	33.469201	-112.047393	4.0	1694	1
50	gwYt_q3Ob7aQJIefIBsZiQ	"""Raising Cane's"""	"""7135 S Rainbow Blvd"""	Las Vegas	NV	36.058716	-115.2433571	4.0	264	1
51	kiU9C58n7dgygdrpjOQXMQ	"""Los Jarochos Restaurant"""	"""4811 S Rainbow Blvd"""	Las Vegas	NV	36.101319000000004	-115.244375	4.0	62	0
52	xfbjRpE3yhRQ9Zw-D_mBgQ	"""Nunu Ethiopian Fusion"""	"""1178 Queen Street W"""	Toronto	ON	43.642969	-79.42570479999999	4.0	70	1
53	l0WauZ92kRg9bu2oxHj4TQ	"""Aiello's East Coast Italian"""	"""777 E Thunderbird Rd, Ste 100"""	Phoenix	AZ	33.607105	-112.063427	4.0	130	1
54	M9fOuiesoUSaouOqNQ3U2w	"""Wong's Place"""	"""1825 E Baseline Rd."""	Tempe	AZ	33.3779385	-111.9062779	4.0	149	0
58	u-SvRRAfYgpbXZRfQgcTzA	"""Imadake"""	"""4006 Rue Sainte-Catherine O"""	Montréal	QC	45.488795	-73.58495400000001	4.0	231	1
59	HIvLwkEYuGRtI17H2x7RuQ	"""Bold Food & Drink"""	"""1121 W 10th St"""	Cleveland	OH	41.500625799999995	-81.7043299	4.0	114	1
60	hPTx2Y5e4Czbr21XcbDN8g	"""Mei Nung Beef Noodle House"""	"""3229 Highway 7 E, Unit 15"""	Markham	ON	43.851504	-79.35189100000001	4.0	196	1
61	gmRoqDnXnA3PLk0JbOZZ3g	"""Léché Desserts"""	"""640 Rue de Courcelle"""	Montréal	QC	45.474108	-73.592362	4.0	75	1
63	OsuBqr2L0-5W8LGAsg-p8g	"""Micky's Hot Dogs"""	"""108 W Broadway Rd"""	Mesa	AZ	33.4080371	-111.83460590000001	4.0	115	1
64	aiX_WP7NKPTdF9CfI-M-wg	"""Culinary Dropout"""	"""149 S Farmer"""	Tempe	AZ	33.428533	-111.943955	4.0	984	1
66	Fbycyr3KEjDQ4wO9AStmvQ	"""Cafe Sam"""	"""5242 Baum Blvd"""	Pittsburgh	PA	40.456227	-79.940241	4.0	70	1
67	LCb2moBNkcBto_32rmZJ5A	"""Echo Sushi"""	"""2036 Yonge Street"""	Toronto	ON	43.7012899	-79.39722569999999	4.0	147	1
68	IDW4QFw-fN_wk81G9OV-Mg	"""Nothing But Noodles"""	"""1605 Elizabeth Ave"""	Charlotte	NC	35.213744	-80.8262381	4.0	75	1
69	HexCnP_tQFgXH6QD9UlJWw	"""WinCo Foods"""	"""6101 N Decatur Blvd"""	Las Vegas	NV	36.2699287874	-115.208240497	4.0	146	1
70	SSCH4Z2gw-hh2KZy7aH4qw	"""Worth Takeaway"""	"""218 W Main St"""	Mesa	AZ	33.4154308	-111.8374321	5.0	336	1
71	4kDLEb1OgE7IrO54lCkn3A	"""Cocina Economica"""	"""141 Berkeley Street"""	Toronto	ON	43.6549273753	-79.36547488689999	4.0	117	1
72	Jd2NUZeVeyWi1tTNKXMt1Q	"""Sí Señor Restaurant"""	"""600 N Alma School Rd"""	Chandler	AZ	33.3136751	-111.8596581	4.0	398	1
73	9CNObWIk7w8poCo5IAtgmw	"""Raising Cane's"""	"""3535 W Tropicana Ave"""	Las Vegas	NV	36.1005126302	-115.186880296	4.0	55	1
74	TolwZ3L28or4E8SVTZUf6Q	"""Spinato's Pizza"""	"""1219 E Glendale Ave, Ste 14"""	Phoenix	AZ	33.5378713137	-112.055160999	4.0	157	0
75	TdKJjgiXMPXDamGK-IwFZg	"""Freddy's Frozen Custard & Steakburgers"""	"""4929 W Bell Rd"""	Glendale	AZ	33.6387179265	-112.167251549	4.0	191	1
78	woP-omtF0PobX4JxXpZa7Q	"""Ronnie's Cafe"""	"""4323 W Cactus Rd, Ste 3"""	Glendale	AZ	33.5956471	-112.1521774	4.0	278	1
79	4l56EXyCWwPlPXcX9qq-jw	"""Dannys Pizza"""	"""5159 Library Rd"""	Bethel Park	PA	40.3352143	-80.0228755	4.0	61	1
80	z1jWE9gO4ehWJESM_H7zpA	"""Icha Tea"""	"""235 Spadina Avenue, Unit 4"""	Toronto	ON	43.6514148332	-79.397053919	4.5	56	1
83	fQwB9Z98YEhkJit7c3z51A	"""The Carbon Bar"""	"""99 Queen Street E"""	Toronto	ON	43.6531872634	-79.3747868766	4.0	268	1
85	Ld2hhA3q3cdkptwS1fsYEg	"""Yogi's Grill"""	"""2450 W Happy Valley Rd"""	Phoenix	AZ	33.714505545	-112.112238407	4.0	80	1
86	bEVWHtBRYVwqaaNF4mWNYg	"""Coquine Restaurant"""	"""2075 Yonge Street"""	Toronto	ON	43.7025524249	-79.3972819847	4.0	122	1
88	_wpUUDnJwrn7eSYAjnv7WA	"""Brothers Lounge"""	"""11609 Detroit Ave"""	Cleveland	OH	41.4831317	-81.7678484	4.0	60	1
90	pyqnGlIfP9Zw8LLxBjyAiA	"""Nobu"""	"""3570 Las Vegas Blvd S"""	Las Vegas	NV	36.116743332199995	-115.175368225	4.0	840	1
91	z71IqTCbQW7uzw2H2T1QrA	"""87 West 2"""	"""287 Crocker Park Blvd"""	Westlake	OH	41.4594181	-81.95362740000002	4.0	89	1
92	ORqZyyZafJyZcgTGNrJ_oA	"""Wooffles & Cream"""	"""8360 Kennedy Road, Unit 81"""	Markham	ON	43.85937979999999	-79.3043375	4.0	336	1
