	Unnamed: 0	business_id	city	state	latitude	longitude
0	0	--9e1ONYQuAa-CB_Rrw7Tw	Las Vegas	NV	36.123183	-115.16919
1	1	--cZ6Hhc9F7VkKXxHMVZSQ	Charlotte	NC	35.1998528426	-80.8448199047
2	2	-050d_XIor1NpCuWkbIVaQ	Phoenix	AZ	33.456696057399995	-112.072327137
3	3	-1VaIJza42Hjev6ukacCNg	El Mirage	AZ	33.6174356	-112.3242972
4	4	-1xuC540Nycht_iWFeJ-dw	Montréal	QC	45.51931	-73.580749
5	5	-3oxnPPPU3YoxO9M1I2idg	Mesa	AZ	33.37991210000001	-111.8062972
6	6	-3zffZUHoY8bQjGfPSoBKQ	Las Vegas	NV	36.11199000000001	-115.177001
7	7	-4TMQnQJW1yd6NqGRDvAeA	Scottsdale	AZ	33.493363800000004	-111.9312414
8	8	-5NXoZeGBdx3Bdk70tuyCw	Urbana	IL	40.1176953	-88.20587420000004
9	9	-5XuRAfrjEiMN77J4gMQZQ	Charlotte	NC	35.2023563	-80.8448666
10	10	-6tvduBzjLI1ISfs3F_qTg	Gilbert	AZ	33.3549550783	-111.78972993
11	11	-7BCZH437U5FjmNJ26llkg	Toronto	ON	43.6797669	-79.3416051
12	12	-7PX_FOoCwktlunImRyZdg	Pittsburgh	PA	40.4603426	-79.92500059999998
13	13	-8F04F54iDT6VgWPCgybug	Pittsburgh	PA	40.464681	-79.959266
14	14	-8JaNeG3etLgOVyg2gOIiA	Phoenix	AZ	33.494620899999994	-111.98983
15	15	-8QlV3b_9H4BAh6LgMIr1g	Tempe	AZ	33.406601	-111.9075196
16	16	-8ZiMXZReeTD3kwEvS0Lww	Las Vegas	NV	36.277837700000006	-115.286646
17	17	-8iwcXhLnyqbLgvcrJGgaw	Huntersville	NC	35.445088	-80.87937590000001
18	18	-ADtl9bLp8wNqYX1k3KuxA	Las Vegas	NV	36.2715522	-115.2676311
19	19	-BS4aZAQm9u41YnB9MUASA	Las Vegas	NV	36.1428613059	-115.280267162
20	20	-BbnAc9YEO6pjvJGEtFbVQ	Toronto	ON	43.666819017399995	-79.385469249
21	21	-Bdw-5H5C4AYSMGnAvmnzw	Phoenix	AZ	33.4728423	-112.0560979
22	22	-Bf8BQ3yMk8U2f45r2DRKw	Las Vegas	NV	36.19566320000001	-115.2465134
23	23	-BmqghX1sv7sgsxOIS2yAg	Las Vegas	NV	36.1216467	-115.144848
24	24	-BxWyEIQ6wypT-37MzZizQ	Phoenix	AZ	33.4588267	-112.0715434
25	25	-C8sSrFqaCxp51pyo-fQLQ	Las Vegas	NV	36.1231118615	-115.279896937
26	26	-CFKgOGpYPIt8NnqidaZCw	Henderson	NV	36.0359158	-114.9859226
27	27	-CLTZ0cO-ooKDDmXHFoGMg	Toronto	ON	43.6700032	-79.3898095
28	28	-CfFjcCcGGDM9MVH_d42RQ	Chandler	AZ	33.2762744	-111.8750213
29	29	-DnaKAs2oK3rXfrjSvn9ew	North Las Vegas	NV	36.2395558	-115.1147678
30	30	-Dnh48f029YNugtMKkkI-Q	Glendale	AZ	33.5383958	-112.1839753
31	31	-EX_qttyhm5YNb8NWtAcCQ	Toronto	ON	43.6497366	-79.4207667
32	32	-Eu04UHRqmGGyvYRDY8-tg	Cleveland	OH	41.48468629999999	-81.70306190000002
33	33	-F5mm0-YeCI7viSiOwVAAw	Scottsdale	AZ	33.5442293455	-111.905472279
34	34	-FLnsWAa4AGEW4NgE8Fqew	Scottsdale	AZ	33.5000439702	-111.926333031
35	35	-GOsHrWPC0meDRgkCEgC8w	Medina	OH	41.153419	-81.864609
