,business_id,name,address,city,state,latitude,longitude,stars,review_count,is_open,categories
0,EsMcGiZaQuG1OOvL9iUFug,"""Any Given Sundae""","""2612 Brandt School Rd""",Wexford,PA,40.6151022445,-80.0913487465,5.0,15,1,Coffee & Tea;Ice Cream & Frozen Yogurt;Food
4,nbhBRhZtdaZmMMeb2i02pg,"""Sunnyside Grill""","""2777 Steeles Avenue W""",Toronto,ON,43.7818155,-79.49043309999999,5.0,3,1,Restaurants;Breakfast & Brunch
13,YhV93k9uiMdr3FlV4FHjwA,"""Caviness Studio""","""""",Phoenix,AZ,33.4499672,-112.07022250000001,5.0,4,1,Marketing;Men's Clothing;Restaurants;Graphic Design;Women's Clothing;Screen Printing;Advertising;Pizza;Shopping;Web Design;Fashion;Local Services;Screen Printing/T-Shirt Printing;Professional Services
36,Qs7X8UTwtp9SvtxvEP4hLg,"""Fine Wine & Good Spirits - Premium Collection""","""The Water Works, 974 Freeport Rd""",Pittsburgh,PA,40.4886935886,-79.8908097541,5.0,7,1,Beer;Wine & Spirits;Food
68,UX0Gp7fwXIaLjGS3aupV9Q,"""Alice's Cuisine""","""2020 W Union Hills Dr""",Phoenix,AZ,33.65636,-112.10226399999999,5.0,9,1,Food Delivery Services;Caterers;Event Planning & Services;Food
85,NS6sflNa3aqP74iDzIDB9g,"""The Art Of Baking""","""""",Charlotte,NC,35.182596200000006,-80.6548882,5.0,5,1,Food;Bakeries
86,AfL8Ds7ex73tfVbq3EFWKg,"""Baja Fresh""","""8780 W Charleston Blvd, Ste 100""",Las Vegas,NV,36.1594825,-115.28745079999999,5.0,6,1,Restaurants;Mexican
95,bGao_iVv3TAYcZ_5y9bOCQ,"""Le Fagotin""","""5243, Chemin de Chambly Saint Hubert""",Saint-Hubert,QC,45.5047799,-73.4232765,5.0,3,1,French;Restaurants
97,wrbF8GuuXY5hNj8AeiOulg,"""Culinary Adventure""","""""",Toronto,ON,43.7063972,-79.309937,5.0,11,1,Wine Tours;Walking Tours;Hotels & Travel;Food Tours;Tours
98,WAq2whrNNq8DD7rG20WFjA,"""Sassy N Classy Cakes""","""""",Henderson,NV,36.037644799999995,-115.07625359999999,5.0,16,1,Cupcakes;Custom Cakes;Desserts;Food
100,C_5X1heCp_eQyzfmM6tGog,"""Red Cedar Coffee Company""","""711 W Bagley Rd, Ste 5""",Berea,OH,41.371833,-81.8781598,5.0,8,1,Food;Specialty Food;Coffee & Tea
116,qLCrPakPU9uArigtDu-KiQ,"""Uncle Mikey's""","""1597 Dundas Street W""",Toronto,ON,43.6496731,-79.4348818,5.0,11,1,Korean;Canadian (New);Restaurants;Tapas Bars
142,bwE6ur74Gd4BTaXBHudsCQ,"""Pomme Frite""","""19 Rue Blainville O""",Sainte-Thérèse-de-Blainville,QC,45.6394669309,-73.84227801109999,5.0,7,1,Restaurants;Burgers;Fast Food
148,glc0_AbiJmdzAxC-rBIHJQ,"""Joyful Delights""","""""",Scottsdale,AZ,33.468848,-111.91051599999999,5.0,3,1,Food Trucks;Shaved Ice;Ice Cream & Frozen Yogurt;Food
170,Yar8jR2a1XA2JuRKfmNDcw,"""Palms Restaurant""","""3502 West Greenway Rd""",Phoenix,AZ,33.6259523,-112.1343378,5.0,3,1,Restaurants;Greek;Mediterranean;Food;Bakeries
177,uaoP7yqMm15LRY4i8v8YFQ,"""Le Fouvrac""","""1404, rue Fleury Est""",Montréal,QC,45.56122,-73.65705600000001,5.0,4,1,Coffee & Tea;Food;Specialty Food
186,SSCH4Z2gw-hh2KZy7aH4qw,"""Worth Takeaway""","""218 W Main St""",Mesa,AZ,33.4154308,-111.8374321,5.0,336,1,Breakfast & Brunch;Sandwiches;American (New);American (Traditional);Restaurants
242,RMyK2LpfFDty75HE94XN0Q,"""Positively Frosted""","""7510 E Thomas Rd""",Scottsdale,AZ,33.4816874,-111.91934760000001,5.0,6,1,Desserts;Restaurants;Cupcakes;Vegan;Bakeries;Food Delivery Services;Food;Custom Cakes
247,p4UY86ROXC0IDnvasv2S8A,"""Farmers Market LV""","""8174 S Las Vegas Blvd, Ste 107""",Las Vegas,NV,36.0411388319,-115.170557602,5.0,15,1,Shopping;Food;Fashion;Men's Clothing;Farmers Market;Women's Clothing
251,8M-fofsvdyflfUSooIK3vg,"""Outrageous Olive Oils""","""7240 E Main St""",Scottsdale,AZ,33.4933556,-111.92490919999999,5.0,49,1,Specialty Food;Olive Oil;Food
267,h8CofE7U_-SDe16cdoOMHg,"""Branche d'Olivier""","""1370 Avenue du Mount-Royal Est""",Montréal,QC,45.5306286746,-73.5766799594,5.0,8,1,Imported Food;Health Markets;Specialty Food;Food;Ethnic Food
